paper_id,section_code,svg_filename,latex
fluid-dynamics,07,flu-07-004.svg,"\begin{equation}
\mathrm{resid}_i=100\,\frac{|N_\star r_{{\rm meas},i}^2-\phi s L_{\rm core}^2|}
{\phi s L_{\rm core}^2}
\label{eq:resid}
\end{equation}"
fluid-dynamics,08,flu-08-001.svg,"\[
\dot x \;=\; \alpha\,x^{-5}-x^{-4},\qquad x>0,
\]"
fluid-dynamics,08,flu-08-002.svg,"\[
F'(x^\star)=-\alpha^{-5}=-(\pi/2)^5\approx-9.5631<0,
\]"
fluid-dynamics,08,flu-08-003.svg,"\[
\partial_t\phi=(\mu-\sigma_0k_0^4)\phi+(2\sigma_0k_0^2)\nabla^2\phi
-\sigma_0\nabla^4\phi+\cdots,
\]"
fluid-dynamics,08,flu-08-004.svg,"\begin{equation}
\lambda(k)=\mu+\varepsilon k^2-\sigma k^4,\qquad \varepsilon,\sigma>0.
\label{eq:disp}
\end{equation}"
fluid-dynamics,08,flu-08-005.svg,"\begin{equation}
k_\star=\sqrt{\frac{\varepsilon}{2\sigma}},\qquad
L_\star=\frac{2\pi}{k_\star}=2\pi\sqrt{\frac{2\sigma}{\varepsilon}}
\;\propto\;\Big(\frac{\sigma}{\varepsilon}\Big)^{1/2},
\label{eq:kstar}
\end{equation}"
fluid-dynamics,08,flu-08-006.svg,"\begin{equation}
\frac{d\log L_\star}{d\log(\sigma/\varepsilon)}=\frac12.
\label{eq:onehalf}
\end{equation}"
fluid-dynamics,09,flu-09-001.svg,"\[
\mu_{\rm events}=\sum_k\Delta E_{{\rm bind},k}\,\delta_{(\xv,t)=(\xv_k,t_k)}\ge0
\]"
fluid-dynamics,09,flu-09-002.svg,"\[
\langle\eps_\nu\rangle\to0,\qquad \langle\eps_{\rm events}\rangle\to I>0,
\]"
fluid-dynamics,09,flu-09-003.svg,"\begin{equation}
\langle\eps_{\rm inj}\rangle=\langle\eps_\nu\rangle+\langle\eps_{\rm events}\rangle,
\qquad \langle\eps_\nu\rangle=2\nu\langle Z\rangle.
\label{eq:budget_window}
\end{equation}"
fluid-dynamics,09,flu-09-004.svg,"\begin{equation}
\frac{dA}{dt}=\{A,H\}+[A,S],
\label{eq:generic}
\end{equation}"
fluid-dynamics,09,flu-09-005.svg,"\begin{equation}
\frac{dE}{dt}=\underbrace{\{E,H\}}_{=\,0}\;+\;I-a\nu E-bE
\;\Longrightarrow\;
E_\star=\frac{I}{a\nu+b}.
\label{eq:Estar}
\end{equation}"
fluid-dynamics,09,flu-09-006.svg,"\begin{equation}
\nu\to0:\quad E_\star\to\frac{I}{b},\qquad \eps_\nu\to0,\qquad
\eps_{\rm bind}\to I .
\label{eq:saturation}
\end{equation}"
fluid-dynamics,10,flu-10-001.svg,"\begin{equation}
N_\star\,r_{\rm eff}^{\,d}=\phi\,s\,L_{\rm core}^{\,d},\qquad
r_{\rm eff}^{\,d}=\frac{1}{N_\star}\frac{1}{V_d}\sum_k \mathrm{vol}_k.
\label{eq:capacity_d}
\end{equation}"
fluid-dynamics,11,flu-11-001.svg,"\[
D \;=\; 2\lambda_{C,e}\;=\;6\pi^6 r_p\;=\;\frac{2\pi\lambda}{A}\;\approx\;4.854\ \mathrm{pm},
\]"
fluid-dynamics,11,flu-11-002.svg,"\begin{equation}
N\,v_{\rm eff}\;\approx\;\phi\,V_{\rm core},
\label{eq:dna_capacity}
\end{equation}"
