unmet_rank,entity,cui,tier,system_class,rankable,raw_burden,burden_grade,evidence_status,treatment_gap_class,efficacy_offset_e,R_treat,treatment_grade,residual_unmet_need,residual_grade,burden_order_provisional,order_locked,headline_unmet_need
22,Marfan syndrome,C0024796,flagship,connective_tissue,yes,0.5750,[L],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.2587,[L],no,yes,no
23,Beta-thalassemia HBB/LCRB,CN322236,flagship,hematologic,yes,0.5667,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.2550,[H],yes,no,no
,"Ehlers-Danlos syndrome, type 4",C0268338,extension,connective_tissue,no,1.0000,[L],disease-modifying (partial),partial_disease_modifying,0.3000,0.7000,[L],0.7000,[L],yes,no,no
,Alkaptonuria,C0002066,extension,metabolic,no,0.8500,[L],disease-modifying (partial),partial_disease_modifying,0.3000,0.7000,[L],0.5950,[L],yes,no,no
,Hb SS disease,C0002895,extension,hematologic,no,0.7000,[H],disease-modifying (partial),partial_disease_modifying,0.3000,0.7000,[L],0.4900,[H],yes,no,no
,Cystinosis,C4316899,flagship,renal/lysosomal,no,0.8500,[L],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3825,[L],yes,no,no
,21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,C2936858,extension,endocrine,no,0.7500,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3375,[H],yes,no,no
,Wilson disease,C0019202,flagship,hepatic/metabolic,no,0.7500,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3375,[H],yes,no,no
,Cystinuria,C0010691,extension,renal,no,0.7000,[L],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.3150,[L],yes,no,no
,Acute intermittent porphyria,C0162565,extension,metabolic,no,0.6500,[L],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.2925,[L],yes,no,no
,Hemochromatosis type 1,C3469186,flagship,hepatic/metabolic,no,0.6250,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.2812,[H],yes,no,no
,Alpha-1-antitrypsin deficiency,C0221757,flagship,hepatic/respiratory,no,0.3750,[H],disease-modifying (partial),partial_disease_modifying,0.3000,0.7000,[L],0.2625,[H],yes,no,no
,"Ehlers-Danlos syndrome, classic type, 1",C0268335,extension,connective_tissue,no,0.2500,[H],symptomatic,symptomatic_only,0.1000,0.9000,[L],0.2250,[H],yes,no,no
,von Willebrand disease type 1,C1264039,extension,hematologic,no,0.5000,[H],disease-modifying (substantial),substantial_disease_modifying,0.5500,0.4500,[L],0.2250,[H],yes,no,no
